Start Zone,End Zone,Start Time,Efficency,Speed Scale
4,2,18:21,3,7
2,4,18:37,9,1
1,2,09:17,3,7
2,4,14:54,5,5
2,3,18:00,10,0
2,3,16:59,2,8
1,5,18:57,3,7
5,2,20:13,10,0
4,3,07:13,6,4
2,3,06:26,3,7
3,5,17:06,9,1
2,1,13:39,5,5
2,1,21:42,8,2
1,2,20:47,10,0
3,5,07:14,5,5
3,5,23:24,2,8
3,2,07:53,7,3
1,2,23:08,1,9
4,1,19:46,6,4
4,1,02:17,4,6
2,1,02:32,4,6
5,4,15:27,4,6
4,5,04:47,7,3
4,1,04:33,8,2
2,4,13:49,1,9
4,3,03:21,7,3
4,2,09:26,3,7
3,2,11:32,10,0
1,3,06:13,10,0
5,3,13:31,2,8
2,1,23:25,7,3
1,4,10:52,10,0
5,2,03:49,8,2
1,2,18:35,1,9
2,4,16:10,7,3
4,5,16:45,3,7
3,1,17:53,1,9
3,2,04:19,9,1
4,1,22:32,8,2
4,1,13:37,5,5
4,2,15:43,9,1
2,5,15:35,5,5
1,4,23:07,4,6
4,5,22:40,5,5
2,5,08:03,2,8
1,4,07:33,1,9
3,2,17:13,10,0
1,5,21:15,7,3
1,2,21:10,10,0
4,3,03:22,3,7
4,2,00:01,4,6
3,4,23:02,8,2
5,3,09:19,1,9
2,1,01:16,10,0
3,5,18:17,6,4
4,5,13:59,4,6
1,5,02:25,5,5
2,5,19:36,7,3
3,1,04:55,7,3
4,5,11:21,1,9
4,3,17:17,10,0
3,5,18:41,2,8
3,4,11:32,10,0
2,3,10:01,5,5
3,4,23:17,10,0
2,1,20:24,6,4
1,3,09:49,2,8
1,4,21:52,7,3
4,3,06:20,4,6
2,5,20:45,5,5
2,5,20:47,4,6
1,5,20:09,4,6
4,5,04:24,9,1
5,2,10:07,2,8
1,4,12:00,10,0
1,3,21:16,4,6
3,2,04:30,5,5
4,3,20:52,4,6
5,2,18:01,7,3
2,4,01:49,6,4
1,3,00:08,4,6
4,5,12:54,5,5
1,4,17:47,10,0
2,5,13:17,8,2
4,1,18:42,2,8
4,3,22:49,8,2
2,3,02:27,2,8
3,1,13:21,1,9
2,1,02:27,10,0
5,3,09:30,9,1
3,2,02:47,1,9
3,2,12:09,9,1
5,3,00:31,8,2
2,1,21:57,8,2
1,2,17:01,3,7
2,5,04:35,10,0
4,5,02:01,3,7
1,5,04:40,4,6
4,5,08:40,4,6
5,1,13:32,2,8
2,5,20:08,4,6
3,5,02:00,6,4
3,2,21:45,4,6
5,2,23:28,1,9
3,2,04:01,8,2
1,2,08:44,8,2
2,1,21:56,6,4
3,5,14:13,5,5
2,3,16:53,5,5
1,3,04:39,9,1
3,1,01:13,1,9
3,5,05:37,5,5
2,4,02:08,7,3
1,3,00:50,4,6
1,3,10:57,3,7
2,5,12:34,9,1
3,1,19:09,1,9
1,3,03:23,10,0
2,5,08:39,9,1
2,4,14:55,8,2
5,2,09:08,5,5
4,2,07:55,2,8
2,1,08:28,9,1
3,1,19:24,6,4
3,4,01:56,6,4
1,4,03:50,8,2
3,4,12:12,9,1
4,5,01:05,5,5
3,2,14:05,6,4
3,5,01:52,8,2
5,4,08:36,4,6
5,4,16:54,7,3
5,4,14:00,2,8
2,3,14:04,1,9
5,3,08:48,1,9
1,4,12:14,8,2
5,3,11:11,8,2
5,1,09:43,3,7
5,4,06:12,2,8
4,2,11:48,8,2
1,5,08:26,10,0
4,5,01:03,2,8
4,1,08:19,4,6
2,5,23:22,6,4
4,2,12:25,8,2
3,4,17:31,10,0
3,5,03:56,7,3
2,5,21:35,10,0
3,1,07:49,7,3
3,2,03:15,7,3
4,2,00:02,1,9
5,3,05:47,8,2
2,4,10:45,10,0
3,4,16:39,2,8
1,2,07:36,9,1
4,5,16:24,2,8
2,1,00:18,5,5
1,4,12:10,1,9
2,1,17:17,4,6
5,3,02:57,4,6
5,3,10:58,8,2
1,4,23:14,1,9
3,1,02:38,5,5
2,5,13:32,4,6
2,1,06:07,6,4
3,2,19:58,3,7
2,5,15:33,5,5
1,4,10:27,2,8
5,2,00:15,7,3
1,5,09:43,9,1
4,2,14:32,4,6
1,3,18:00,8,2
3,1,02:50,6,4
5,2,07:41,8,2
4,2,04:41,1,9
1,5,22:20,10,0
3,2,15:02,9,1
5,4,03:14,6,4
2,4,21:48,9,1
1,3,23:59,1,9
2,5,02:09,1,9
4,2,11:08,1,9
1,5,12:28,4,6
4,5,03:59,3,7
5,2,09:12,4,6
3,5,09:40,9,1
2,3,22:36,2,8
4,2,16:22,10,0
3,2,12:18,10,0
1,3,06:11,3,7
1,5,08:06,3,7
2,3,07:20,8,2
2,4,14:15,6,4
4,1,19:07,8,2
2,4,09:18,1,9
3,4,18:25,6,4
3,4,12:07,10,0
4,1,01:36,4,6
5,1,04:15,10,0
1,5,07:55,5,5
5,3,17:16,6,4
4,3,11:24,6,4
4,5,13:22,4,6
5,1,16:30,5,5
3,2,22:29,2,8
1,4,01:26,1,9
1,4,00:07,10,0
5,2,12:33,3,7
